"","Ticker","Period","Last_Price","Ticker.1","Period.1","Last_Price.1","Ticker.2","Period.2","Last_Price.2","Ticker.3","Period.3","Last_Price.3","Ticker.4","Period.4","Last_Price.4","Ticker.5","Period.5","Last_Price.5","Ticker.6","Period.6","Last_Price.6","Ticker.7","Period.7","Last_Price.7"
"1","CLX4 Comdty","11/2014",90.73,"CLV4 Comdty","10/2014",92.88,"CLU4 Comdty","9/2014",97.88,"CLQ4 Comdty","8/2014",105.34,"CLN14 Comdty","7/2014",102.47,"CLM14 Comdty","6/2014",99.42,"CLK14 Comdty","5/2014",99.74,"CLJ14 Comdty","4/2014",104.92
"2","CLZ4 Comdty","12/2014",89.74,"CLX4 Comdty","11/2014",92.1,"CLV4 Comdty","10/2014",96.94,"CLU4 Comdty","9/2014",104.74,"CLQ4 Comdty","8/2014",101.79,"CLN14 Comdty","7/2014",98.75,"CLM14 Comdty","6/2014",99.05,"CLK14 Comdty","5/2014",104.22
"3","CLF5 Comdty","1/2015",89.11,"CLZ4 Comdty","12/2014",91.74,"CLX4 Comdty","11/2014",96.31,"CLV4 Comdty","10/2014",103.86,"CLU4 Comdty","9/2014",100.89,"CLQ4 Comdty","8/2014",97.91,"CLN14 Comdty","7/2014",98.18,"CLM14 Comdty","6/2014",103.16
"4","CLG5 Comdty","2/2015",88.66,"CLF5 Comdty","1/2015",91.62,"CLZ4 Comdty","12/2014",95.79,"CLX4 Comdty","11/2014",103.01,"CLV4 Comdty","10/2014",99.9,"CLU4 Comdty","9/2014",97.04,"CLQ4 Comdty","8/2014",97.28,"CLN14 Comdty","7/2014",102.03
"5","CLH5 Comdty","3/2015",88.32,"CLG5 Comdty","2/2015",91.56,"CLF5 Comdty","1/2015",95.36,"CLZ4 Comdty","12/2014",102.25,"CLX4 Comdty","11/2014",98.92,"CLV4 Comdty","10/2014",96.19,"CLU4 Comdty","9/2014",96.37,"CLQ4 Comdty","8/2014",100.85
"6","CLJ5 Comdty","4/2015",87.99,"CLH5 Comdty","3/2015",91.51,"CLG5 Comdty","2/2015",94.92,"CLF5 Comdty","1/2015",101.51,"CLZ4 Comdty","12/2014",98,"CLX4 Comdty","11/2014",95.39,"CLV4 Comdty","10/2014",95.47,"CLU4 Comdty","9/2014",99.69
"7","CLK5 Comdty","5/2015",87.73,"CLJ5 Comdty","4/2015",91.41,"CLH5 Comdty","3/2015",94.5,"CLG5 Comdty","2/2015",100.78,"CLF5 Comdty","1/2015",97.08,"CLZ4 Comdty","12/2014",94.66,"CLX4 Comdty","11/2014",94.64,"CLV4 Comdty","10/2014",98.57
"8","CLM5 Comdty","6/2015",87.5,"CLK5 Comdty","5/2015",91.31,"CLJ5 Comdty","4/2015",94.06,"CLH5 Comdty","3/2015",100.06,"CLG5 Comdty","2/2015",96.22,"CLF5 Comdty","1/2015",93.9,"CLZ4 Comdty","12/2014",93.87,"CLX4 Comdty","11/2014",97.54
"9","CLN5 Comdty","7/2015",87.21,"CLM5 Comdty","6/2015",91.19,"CLK5 Comdty","5/2015",93.67,"CLJ5 Comdty","4/2015",99.33,"CLH5 Comdty","3/2015",95.46,"CLG5 Comdty","2/2015",93.16,"CLF5 Comdty","1/2015",93.02,"CLZ4 Comdty","12/2014",96.56
"10","CLQ5 Comdty","8/2015",86.99,"CLN5 Comdty","7/2015",90.98,"CLM5 Comdty","6/2015",93.34,"CLK5 Comdty","5/2015",98.66,"CLJ5 Comdty","4/2015",94.73,"CLH5 Comdty","3/2015",92.5,"CLG5 Comdty","2/2015",92.22,"CLF5 Comdty","1/2015",95.47
"11","CLU5 Comdty","9/2015",86.86,"CLQ5 Comdty","8/2015",90.76,"CLN5 Comdty","7/2015",92.93,"CLM5 Comdty","6/2015",98.06,"CLK5 Comdty","5/2015",94.1,"CLJ5 Comdty","4/2015",91.85,"CLH5 Comdty","3/2015",91.53,"CLG5 Comdty","2/2015",94.41
