Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 1/3/2006 USD/barrel",,,"Crude Oil, WTI (NYM) 12/1/2005 USD/barrel",,,"Crude Oil, WTI (NYM) 11/1/2005 USD/barrel",,,"Crude Oil, WTI (NYM) 10/3/2005 USD/barrel",,,"Crude Oil, WTI (NYM) 9/1/2005 USD/barrel",,,"Crude Oil, WTI (NYM) 8/1/2005 USD/barrel",,,"Crude Oil, WTI (NYM) 7/1/2005 USD/barrel",,,"Crude Oil, WTI (NYM) 6/1/2005 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLN05 Comdty,7/2005,54.6
2M,,,,,,,,,,,,,,,,,,,CLQ05 Comdty,8/2005,58.75,CLQ05 Comdty,8/2005,55.42
3M,,,,,,,,,,,,,,,,CLU05 Comdty,9/2005,61.57,CLU05 Comdty,9/2005,59.81,CLU05 Comdty,9/2005,55.79
4M,,,,,,,,,,,,,CLV05 Comdty,10/2005,69.47,CLV05 Comdty,10/2005,62.7,CLV05 Comdty,10/2005,60.43,CLV05 Comdty,10/2005,56.01
5M,,,,,,,,,,CLX05 Comdty,11/2005,65.47,CLX05 Comdty,11/2005,69.98,CLX05 Comdty,11/2005,63.43,CLX05 Comdty,11/2005,60.75,CLX05 Comdty,11/2005,56.17
6M,,,,,,,CLZ05 Comdty,12/2005,59.85,CLZ05 Comdty,12/2005,65.29,CLZ05 Comdty,12/2005,70.23,CLZ05 Comdty,12/2005,63.96,CLZ05 Comdty,12/2005,61,CLZ05 Comdty,12/2005,56.24
7M,,,,CLF06 Comdty,1/2006,58.47,CLF06 Comdty,1/2006,60.54,CLF06 Comdty,1/2006,65.69,CLF06 Comdty,1/2006,70.41,CLF06 Comdty,1/2006,64.32,CLF06 Comdty,1/2006,61.11,CLF06 Comdty,1/2006,56.18
8M,CLG06 Comdty,2/2006,63.14,CLG06 Comdty,2/2006,59.35,CLG06 Comdty,2/2006,60.96,CLG06 Comdty,2/2006,65.97,CLG06 Comdty,2/2006,70.54,CLG06 Comdty,2/2006,64.54,CLG06 Comdty,2/2006,61.06,CLG06 Comdty,2/2006,56.05
9M,CLH06 Comdty,3/2006,63.99,CLH06 Comdty,3/2006,59.84,CLH06 Comdty,3/2006,61.21,CLH06 Comdty,3/2006,66.16,CLH06 Comdty,3/2006,70.59,CLH06 Comdty,3/2006,64.61,CLH06 Comdty,3/2006,60.97,CLH06 Comdty,3/2006,55.91
10M,CLJ06 Comdty,4/2006,64.48,CLJ06 Comdty,4/2006,60.14,CLJ06 Comdty,4/2006,61.39,CLJ06 Comdty,4/2006,66.24,CLJ06 Comdty,4/2006,70.47,CLJ06 Comdty,4/2006,64.57,CLJ06 Comdty,4/2006,60.83,CLJ06 Comdty,4/2006,55.76
11M,CLK06 Comdty,5/2006,64.84,CLK06 Comdty,5/2006,60.38,CLK06 Comdty,5/2006,61.47,CLK06 Comdty,5/2006,66.24,CLK06 Comdty,5/2006,70.29,CLK06 Comdty,5/2006,64.5,CLK06 Comdty,5/2006,60.69,CLK06 Comdty,5/2006,55.61
1Y,CLM06 Comdty,6/2006,65.14,CLM06 Comdty,6/2006,60.58,CLM06 Comdty,6/2006,61.51,CLM06 Comdty,6/2006,66.17,CLM06 Comdty,6/2006,70.09,CLM06 Comdty,6/2006,64.41,CLM06 Comdty,6/2006,60.55,CLM06 Comdty,6/2006,55.46
13M,CLN06 Comdty,7/2006,65.38,CLN06 Comdty,7/2006,60.75,CLN06 Comdty,7/2006,61.54,CLN06 Comdty,7/2006,66.1,CLN06 Comdty,7/2006,69.85,CLN06 Comdty,7/2006,64.31,CLN06 Comdty,7/2006,60.41,CLN06 Comdty,7/2006,55.34
14M,CLQ06 Comdty,8/2006,65.59,CLQ06 Comdty,8/2006,60.9,CLQ06 Comdty,8/2006,61.54,CLQ06 Comdty,8/2006,66,CLQ06 Comdty,8/2006,69.61,CLQ06 Comdty,8/2006,64.21,CLQ06 Comdty,8/2006,60.29,CLQ06 Comdty,8/2006,55.22
15M,CLU06 Comdty,9/2006,65.77,CLU06 Comdty,9/2006,61.02,CLU06 Comdty,9/2006,61.54,CLU06 Comdty,9/2006,65.89,CLU06 Comdty,9/2006,69.39,CLU06 Comdty,9/2006,64.1,CLU06 Comdty,9/2006,60.17,CLU06 Comdty,9/2006,55.08
16M,CLV06 Comdty,10/2006,65.91,CLV06 Comdty,10/2006,61.09,CLV06 Comdty,10/2006,61.53,CLV06 Comdty,10/2006,65.77,CLV06 Comdty,10/2006,69.17,CLV06 Comdty,10/2006,63.99,CLV06 Comdty,10/2006,60.04,CLV06 Comdty,10/2006,54.94
17M,CLX06 Comdty,11/2006,66.02,CLX06 Comdty,11/2006,61.14,CLX06 Comdty,11/2006,61.46,CLX06 Comdty,11/2006,65.63,CLX06 Comdty,11/2006,68.95,CLX06 Comdty,11/2006,63.87,CLX06 Comdty,11/2006,59.9,CLX06 Comdty,11/2006,54.79
18M,CLZ06 Comdty,12/2006,66.1,CLZ06 Comdty,12/2006,61.16,CLZ06 Comdty,12/2006,61.38,CLZ06 Comdty,12/2006,65.49,CLZ06 Comdty,12/2006,68.73,CLZ06 Comdty,12/2006,63.75,CLZ06 Comdty,12/2006,59.76,CLZ06 Comdty,12/2006,54.64
19M,CLF07 Comdty,1/2007,66.17,CLF07 Comdty,1/2007,61.14,CLF07 Comdty,1/2007,61.22,CLF07 Comdty,1/2007,65.23,CLF07 Comdty,1/2007,68.42,CLF07 Comdty,1/2007,63.61,CLF07 Comdty,1/2007,59.64,CLF07 Comdty,1/2007,54.51
